RegionID,RegionName,SizeRank,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06
102001,United States,0," $1,283.00 "," $1,294.00 "," $1,295.00 "," $1,302.00 "," $1,315.00 "," $1,325.00 "," $1,334.00 "," $1,339.00 "," $1,341.00 "," $1,341.00 "," $1,341.00 "," $1,341.00 "," $1,346.00 "," $1,353.00 "," $1,361.00 "," $1,373.00 "," $1,382.00 "," $1,391.00 "," $1,396.00 "," $1,401.00 "," $1,402.00 "," $1,403.00 "," $1,404.00 "," $1,404.00 "," $1,409.00 "," $1,416.00 "," $1,425.00 "," $1,434.00 "," $1,442.00 "," $1,450.00 "," $1,452.00 "," $1,455.00 "," $1,455.00 "," $1,454.00 "," $1,453.00 "," $1,452.00 "," $1,456.00 "," $1,463.00 "," $1,471.00 "," $1,481.00 "," $1,490.00 "," $1,496.00 "," $1,502.00 "," $1,504.00 "," $1,504.00 "," $1,503.00 "," $1,502.00 "," $1,503.00 "," $1,507.00 "," $1,513.00 "," $1,522.00 "," $1,531.00 "," $1,540.00 "," $1,550.00 "," $1,555.00 "," $1,559.00 "," $1,559.00 "," $1,559.00 "," $1,560.00 "," $1,561.00 "," $1,565.00 "," $1,572.00 "," $1,581.00 "," $1,590.00 "," $1,601.00 "," $1,611.00 "," $1,616.00 "," $1,618.00 "," $1,618.00 "," $1,616.00 "," $1,615.00 "," $1,617.00 "," $1,622.00 "," $1,631.00 "," $1,636.00 "," $1,630.00 "," $1,626.00 "," $1,629.00 "," $1,631.00 "," $1,628.00 "," $1,625.00 "," $1,624.00 "," $1,627.00 "," $1,630.00 "," $1,634.00 "," $1,642.00 "," $1,659.00 "," $1,685.00 "," $1,716.00 "," $1,749.00 "," $1,786.00 "," $1,820.00 "," $1,843.00 "," $1,861.00 "," $1,878.00 "," $1,895.00 "," $1,901.00 "," $1,925.00 "," $1,942.00 "," $1,965.00 "," $1,991.00 "," $2,007.00 "
394913,"New York, NY",1," $2,306.00 "," $2,335.00 "," $2,342.00 "," $2,348.00 "," $2,382.00 "," $2,400.00 "," $2,418.00 "," $2,426.00 "," $2,429.00 "," $2,427.00 "," $2,431.00 "," $2,423.00 "," $2,433.00 "," $2,447.00 "," $2,463.00 "," $2,493.00 "," $2,505.00 "," $2,518.00 "," $2,525.00 "," $2,534.00 "," $2,542.00 "," $2,543.00 "," $2,536.00 "," $2,534.00 "," $2,536.00 "," $2,543.00 "," $2,547.00 "," $2,564.00 "," $2,578.00 "," $2,591.00 "," $2,579.00 "," $2,589.00 "," $2,595.00 "," $2,589.00 "," $2,587.00 "," $2,579.00 "," $2,576.00 "," $2,580.00 "," $2,591.00 "," $2,607.00 "," $2,624.00 "," $2,632.00 "," $2,640.00 "," $2,637.00 "," $2,645.00 "," $2,634.00 "," $2,615.00 "," $2,616.00 "," $2,610.00 "," $2,611.00 "," $2,621.00 "," $2,635.00 "," $2,650.00 "," $2,664.00 "," $2,678.00 "," $2,684.00 "," $2,683.00 "," $2,675.00 "," $2,666.00 "," $2,664.00 "," $2,662.00 "," $2,671.00 "," $2,688.00 "," $2,699.00 "," $2,724.00 "," $2,743.00 "," $2,752.00 "," $2,753.00 "," $2,745.00 "," $2,739.00 "," $2,726.00 "," $2,712.00 "," $2,720.00 "," $2,740.00 "," $2,746.00 "," $2,730.00 "," $2,712.00 "," $2,694.00 "," $2,663.00 "," $2,605.00 "," $2,549.00 "," $2,509.00 "," $2,488.00 "," $2,478.00 "," $2,479.00 "," $2,484.00 "," $2,507.00 "," $2,545.00 "," $2,593.00 "," $2,644.00 "," $2,708.00 "," $2,757.00 "," $2,799.00 "," $2,826.00 "," $2,852.00 "," $2,884.00 "," $2,917.00 "," $2,970.00 "," $3,019.00 "," $3,072.00 "," $3,135.00 "," $3,186.00 "
753899,"Los Angeles-Long Beach-Anaheim, CA",2," $1,815.00 "," $1,846.00 "," $1,833.00 "," $1,842.00 "," $1,865.00 "," $1,885.00 "," $1,903.00 "," $1,918.00 "," $1,927.00 "," $1,933.00 "," $1,932.00 "," $1,936.00 "," $1,950.00 "," $1,958.00 "," $1,975.00 "," $1,988.00 "," $1,999.00 "," $2,012.00 "," $2,028.00 "," $2,040.00 "," $2,049.00 "," $2,058.00 "," $2,067.00 "," $2,071.00 "," $2,083.00 "," $2,100.00 "," $2,111.00 "," $2,119.00 "," $2,138.00 "," $2,152.00 "," $2,156.00 "," $2,168.00 "," $2,174.00 "," $2,181.00 "," $2,182.00 "," $2,188.00 "," $2,200.00 "," $2,212.00 "," $2,224.00 "," $2,239.00 "," $2,254.00 "," $2,261.00 "," $2,276.00 "," $2,283.00 "," $2,287.00 "," $2,289.00 "," $2,293.00 "," $2,293.00 "," $2,304.00 "," $2,312.00 "," $2,320.00 "," $2,332.00 "," $2,343.00 "," $2,356.00 "," $2,365.00 "," $2,377.00 "," $2,382.00 "," $2,387.00 "," $2,394.00 "," $2,399.00 "," $2,403.00 "," $2,408.00 "," $2,416.00 "," $2,427.00 "," $2,436.00 "," $2,447.00 "," $2,458.00 "," $2,465.00 "," $2,469.00 "," $2,470.00 "," $2,474.00 "," $2,482.00 "," $2,487.00 "," $2,492.00 "," $2,491.00 "," $2,466.00 "," $2,449.00 "," $2,446.00 "," $2,446.00 "," $2,438.00 "," $2,441.00 "," $2,449.00 "," $2,452.00 "," $2,448.00 "," $2,448.00 "," $2,457.00 "," $2,472.00 "," $2,494.00 "," $2,524.00 "," $2,566.00 "," $2,613.00 "," $2,671.00 "," $2,708.00 "," $2,735.00 "," $2,759.00 "," $2,781.00 "," $2,801.00 "," $2,834.00 "," $2,863.00 "," $2,900.00 "," $2,935.00 "," $2,951.00 "
394463,"Chicago, IL",3," $1,464.00 "," $1,477.00 "," $1,478.00 "," $1,483.00 "," $1,499.00 "," $1,514.00 "," $1,522.00 "," $1,525.00 "," $1,519.00 "," $1,515.00 "," $1,513.00 "," $1,512.00 "," $1,515.00 "," $1,520.00 "," $1,510.00 "," $1,533.00 "," $1,547.00 "," $1,562.00 "," $1,570.00 "," $1,576.00 "," $1,571.00 "," $1,562.00 "," $1,553.00 "," $1,553.00 "," $1,561.00 "," $1,571.00 "," $1,581.00 "," $1,594.00 "," $1,606.00 "," $1,616.00 "," $1,621.00 "," $1,622.00 "," $1,613.00 "," $1,600.00 "," $1,592.00 "," $1,588.00 "," $1,588.00 "," $1,603.00 "," $1,616.00 "," $1,630.00 "," $1,643.00 "," $1,649.00 "," $1,652.00 "," $1,649.00 "," $1,641.00 "," $1,632.00 "," $1,625.00 "," $1,626.00 "," $1,629.00 "," $1,636.00 "," $1,649.00 "," $1,659.00 "," $1,671.00 "," $1,681.00 "," $1,684.00 "," $1,681.00 "," $1,674.00 "," $1,663.00 "," $1,660.00 "," $1,657.00 "," $1,664.00 "," $1,673.00 "," $1,686.00 "," $1,700.00 "," $1,712.00 "," $1,723.00 "," $1,728.00 "," $1,727.00 "," $1,723.00 "," $1,715.00 "," $1,704.00 "," $1,703.00 "," $1,711.00 "," $1,721.00 "," $1,731.00 "," $1,729.00 "," $1,728.00 "," $1,727.00 "," $1,723.00 "," $1,711.00 "," $1,693.00 "," $1,672.00 "," $1,659.00 "," $1,652.00 "," $1,651.00 "," $1,656.00 "," $1,676.00 "," $1,709.00 "," $1,739.00 "," $1,766.00 "," $1,785.00 "," $1,804.00 "," $1,809.00 "," $1,813.00 "," $1,818.00 "," $1,832.00 "," $1,846.00 "," $1,860.00 "," $1,883.00 "," $1,907.00 "," $1,931.00 "," $1,947.00 "
394514,"Dallas-Fort Worth, TX",4," $1,105.00 "," $1,130.00 "," $1,136.00 "," $1,152.00 "," $1,147.00 "," $1,150.00 "," $1,155.00 "," $1,157.00 "," $1,161.00 "," $1,158.00 "," $1,155.00 "," $1,158.00 "," $1,162.00 "," $1,167.00 "," $1,180.00 "," $1,189.00 "," $1,199.00 "," $1,206.00 "," $1,211.00 "," $1,217.00 "," $1,213.00 "," $1,212.00 "," $1,211.00 "," $1,212.00 "," $1,217.00 "," $1,222.00 "," $1,236.00 "," $1,247.00 "," $1,257.00 "," $1,265.00 "," $1,272.00 "," $1,274.00 "," $1,274.00 "," $1,274.00 "," $1,276.00 "," $1,276.00 "," $1,279.00 "," $1,284.00 "," $1,294.00 "," $1,300.00 "," $1,311.00 "," $1,320.00 "," $1,323.00 "," $1,327.00 "," $1,326.00 "," $1,328.00 "," $1,325.00 "," $1,326.00 "," $1,329.00 "," $1,337.00 "," $1,340.00 "," $1,348.00 "," $1,352.00 "," $1,361.00 "," $1,366.00 "," $1,370.00 "," $1,366.00 "," $1,370.00 "," $1,374.00 "," $1,371.00 "," $1,374.00 "," $1,384.00 "," $1,388.00 "," $1,397.00 "," $1,407.00 "," $1,416.00 "," $1,420.00 "," $1,420.00 "," $1,421.00 "," $1,420.00 "," $1,417.00 "," $1,415.00 "," $1,419.00 "," $1,426.00 "," $1,431.00 "," $1,425.00 "," $1,423.00 "," $1,428.00 "," $1,431.00 "," $1,432.00 "," $1,434.00 "," $1,439.00 "," $1,442.00 "," $1,445.00 "," $1,450.00 "," $1,459.00 "," $1,472.00 "," $1,498.00 "," $1,528.00 "," $1,566.00 "," $1,607.00 "," $1,644.00 "," $1,667.00 "," $1,681.00 "," $1,700.00 "," $1,710.00 "," $1,719.00 "," $1,735.00 "," $1,744.00 "," $1,771.00 "," $1,802.00 "," $1,825.00 "
394974,"Philadelphia, PA",5," $1,350.00 "," $1,316.00 "," $1,337.00 "," $1,340.00 "," $1,349.00 "," $1,360.00 "," $1,365.00 "," $1,370.00 "," $1,374.00 "," $1,368.00 "," $1,364.00 "," $1,352.00 "," $1,356.00 "," $1,359.00 "," $1,371.00 "," $1,383.00 "," $1,395.00 "," $1,401.00 "," $1,403.00 "," $1,404.00 "," $1,402.00 "," $1,398.00 "," $1,399.00 "," $1,398.00 "," $1,402.00 "," $1,408.00 "," $1,419.00 "," $1,427.00 "," $1,436.00 "," $1,441.00 "," $1,448.00 "," $1,442.00 "," $1,439.00 "," $1,436.00 "," $1,438.00 "," $1,437.00 "," $1,439.00 "," $1,444.00 "," $1,454.00 "," $1,461.00 "," $1,468.00 "," $1,470.00 "," $1,473.00 "," $1,474.00 "," $1,470.00 "," $1,471.00 "," $1,476.00 "," $1,476.00 "," $1,472.00 "," $1,478.00 "," $1,489.00 "," $1,499.00 "," $1,510.00 "," $1,514.00 "," $1,515.00 "," $1,517.00 "," $1,518.00 "," $1,519.00 "," $1,517.00 "," $1,521.00 "," $1,527.00 "," $1,533.00 "," $1,541.00 "," $1,549.00 "," $1,556.00 "," $1,567.00 "," $1,570.00 "," $1,570.00 "," $1,568.00 "," $1,570.00 "," $1,570.00 "," $1,570.00 "," $1,572.00 "," $1,585.00 "," $1,590.00 "," $1,584.00 "," $1,586.00 "," $1,589.00 "," $1,590.00 "," $1,593.00 "," $1,593.00 "," $1,592.00 "," $1,594.00 "," $1,599.00 "," $1,597.00 "," $1,599.00 "," $1,610.00 "," $1,628.00 "," $1,650.00 "," $1,672.00 "," $1,693.00 "," $1,724.00 "," $1,736.00 "," $1,751.00 "," $1,766.00 "," $1,788.00 "," $1,784.00 "," $1,794.00 "," $1,808.00 "," $1,821.00 "," $1,838.00 "," $1,852.00 "
394692,"Houston, TX",6," $1,160.00 "," $1,189.00 "," $1,177.00 "," $1,186.00 "," $1,210.00 "," $1,223.00 "," $1,237.00 "," $1,245.00 "," $1,245.00 "," $1,249.00 "," $1,246.00 "," $1,243.00 "," $1,248.00 "," $1,251.00 "," $1,257.00 "," $1,268.00 "," $1,275.00 "," $1,282.00 "," $1,287.00 "," $1,288.00 "," $1,285.00 "," $1,281.00 "," $1,281.00 "," $1,280.00 "," $1,279.00 "," $1,285.00 "," $1,292.00 "," $1,292.00 "," $1,291.00 "," $1,294.00 "," $1,292.00 "," $1,288.00 "," $1,285.00 "," $1,283.00 "," $1,276.00 "," $1,273.00 "," $1,271.00 "," $1,274.00 "," $1,282.00 "," $1,285.00 "," $1,291.00 "," $1,293.00 "," $1,292.00 "," $1,293.00 "," $1,298.00 "," $1,308.00 "," $1,315.00 "," $1,319.00 "," $1,320.00 "," $1,324.00 "," $1,329.00 "," $1,335.00 "," $1,338.00 "," $1,343.00 "," $1,346.00 "," $1,344.00 "," $1,342.00 "," $1,342.00 "," $1,346.00 "," $1,341.00 "," $1,340.00 "," $1,342.00 "," $1,348.00 "," $1,353.00 "," $1,360.00 "," $1,366.00 "," $1,369.00 "," $1,367.00 "," $1,365.00 "," $1,364.00 "," $1,362.00 "," $1,365.00 "," $1,367.00 "," $1,369.00 "," $1,374.00 "," $1,365.00 "," $1,357.00 "," $1,356.00 "," $1,355.00 "," $1,355.00 "," $1,358.00 "," $1,363.00 "," $1,368.00 "," $1,368.00 "," $1,367.00 "," $1,364.00 "," $1,374.00 "," $1,389.00 "," $1,414.00 "," $1,446.00 "," $1,475.00 "," $1,499.00 "," $1,504.00 "," $1,518.00 "," $1,526.00 "," $1,536.00 "," $1,535.00 "," $1,546.00 "," $1,556.00 "," $1,568.00 "," $1,583.00 "," $1,589.00 "
395209,"Washington, DC",7," $1,778.00 "," $1,819.00 "," $1,807.00 "," $1,806.00 "," $1,819.00 "," $1,833.00 "," $1,843.00 "," $1,848.00 "," $1,850.00 "," $1,837.00 "," $1,829.00 "," $1,818.00 "," $1,823.00 "," $1,831.00 "," $1,832.00 "," $1,846.00 "," $1,852.00 "," $1,862.00 "," $1,866.00 "," $1,864.00 "," $1,859.00 "," $1,862.00 "," $1,857.00 "," $1,859.00 "," $1,860.00 "," $1,866.00 "," $1,875.00 "," $1,883.00 "," $1,892.00 "," $1,902.00 "," $1,885.00 "," $1,895.00 "," $1,892.00 "," $1,889.00 "," $1,884.00 "," $1,882.00 "," $1,889.00 "," $1,894.00 "," $1,900.00 "," $1,916.00 "," $1,926.00 "," $1,932.00 "," $1,933.00 "," $1,935.00 "," $1,932.00 "," $1,922.00 "," $1,911.00 "," $1,909.00 "," $1,911.00 "," $1,918.00 "," $1,924.00 "," $1,940.00 "," $1,951.00 "," $1,964.00 "," $1,972.00 "," $1,976.00 "," $1,970.00 "," $1,965.00 "," $1,964.00 "," $1,963.00 "," $1,970.00 "," $1,979.00 "," $1,987.00 "," $2,000.00 "," $2,012.00 "," $2,023.00 "," $2,029.00 "," $2,030.00 "," $2,031.00 "," $2,023.00 "," $2,016.00 "," $2,013.00 "," $2,019.00 "," $2,026.00 "," $2,033.00 "," $2,026.00 "," $2,015.00 "," $2,014.00 "," $2,010.00 "," $1,998.00 "," $1,981.00 "," $1,966.00 "," $1,948.00 "," $1,939.00 "," $1,939.00 "," $1,941.00 "," $1,951.00 "," $1,975.00 "," $2,008.00 "," $2,048.00 "," $2,086.00 "," $2,122.00 "," $2,139.00 "," $2,155.00 "," $2,163.00 "," $2,168.00 "," $2,172.00 "," $2,184.00 "," $2,197.00 "," $2,221.00 "," $2,244.00 "," $2,263.00 "
394856,"Miami-Fort Lauderdale, FL",8," $1,578.00 "," $1,582.00 "," $1,584.00 "," $1,585.00 "," $1,597.00 "," $1,604.00 "," $1,621.00 "," $1,628.00 "," $1,640.00 "," $1,647.00 "," $1,655.00 "," $1,659.00 "," $1,664.00 "," $1,676.00 "," $1,679.00 "," $1,682.00 "," $1,694.00 "," $1,705.00 "," $1,708.00 "," $1,722.00 "," $1,733.00 "," $1,743.00 "," $1,753.00 "," $1,758.00 "," $1,762.00 "," $1,769.00 "," $1,773.00 "," $1,771.00 "," $1,775.00 "," $1,776.00 "," $1,777.00 "," $1,782.00 "," $1,786.00 "," $1,787.00 "," $1,793.00 "," $1,792.00 "," $1,797.00 "," $1,800.00 "," $1,804.00 "," $1,803.00 "," $1,804.00 "," $1,809.00 "," $1,815.00 "," $1,822.00 "," $1,827.00 "," $1,836.00 "," $1,837.00 "," $1,839.00 "," $1,844.00 "," $1,845.00 "," $1,848.00 "," $1,849.00 "," $1,853.00 "," $1,861.00 "," $1,866.00 "," $1,874.00 "," $1,881.00 "," $1,888.00 "," $1,894.00 "," $1,896.00 "," $1,895.00 "," $1,897.00 "," $1,903.00 "," $1,905.00 "," $1,905.00 "," $1,909.00 "," $1,915.00 "," $1,919.00 "," $1,926.00 "," $1,935.00 "," $1,945.00 "," $1,954.00 "," $1,955.00 "," $1,960.00 "," $1,960.00 "," $1,952.00 "," $1,940.00 "," $1,938.00 "," $1,941.00 "," $1,944.00 "," $1,950.00 "," $1,962.00 "," $1,980.00 "," $1,994.00 "," $2,018.00 "," $2,039.00 "," $2,069.00 "," $2,112.00 "," $2,160.00 "," $2,219.00 "," $2,293.00 "," $2,367.00 "," $2,421.00 "," $2,472.00 "," $2,540.00 "," $2,610.00 "," $2,638.00 "," $2,693.00 "," $2,744.00 "," $2,789.00 "," $2,834.00 "," $2,848.00 "
394347,"Atlanta, GA",9," $1,056.00 "," $1,067.00 "," $1,067.00 "," $1,075.00 "," $1,080.00 "," $1,087.00 "," $1,092.00 "," $1,097.00 "," $1,095.00 "," $1,095.00 "," $1,098.00 "," $1,100.00 "," $1,103.00 "," $1,109.00 "," $1,116.00 "," $1,125.00 "," $1,137.00 "," $1,148.00 "," $1,155.00 "," $1,156.00 "," $1,153.00 "," $1,154.00 "," $1,155.00 "," $1,158.00 "," $1,162.00 "," $1,170.00 "," $1,184.00 "," $1,193.00 "," $1,203.00 "," $1,214.00 "," $1,222.00 "," $1,224.00 "," $1,228.00 "," $1,232.00 "," $1,230.00 "," $1,230.00 "," $1,233.00 "," $1,240.00 "," $1,249.00 "," $1,258.00 "," $1,270.00 "," $1,280.00 "," $1,291.00 "," $1,296.00 "," $1,300.00 "," $1,298.00 "," $1,298.00 "," $1,299.00 "," $1,305.00 "," $1,312.00 "," $1,323.00 "," $1,332.00 "," $1,346.00 "," $1,355.00 "," $1,362.00 "," $1,368.00 "," $1,373.00 "," $1,377.00 "," $1,381.00 "," $1,384.00 "," $1,394.00 "," $1,398.00 "," $1,408.00 "," $1,419.00 "," $1,429.00 "," $1,439.00 "," $1,445.00 "," $1,449.00 "," $1,454.00 "," $1,451.00 "," $1,449.00 "," $1,450.00 "," $1,455.00 "," $1,463.00 "," $1,471.00 "," $1,466.00 "," $1,466.00 "," $1,473.00 "," $1,484.00 "," $1,496.00 "," $1,506.00 "," $1,517.00 "," $1,524.00 "," $1,536.00 "," $1,548.00 "," $1,564.00 "," $1,585.00 "," $1,615.00 "," $1,649.00 "," $1,693.00 "," $1,745.00 "," $1,802.00 "," $1,836.00 "," $1,859.00 "," $1,869.00 "," $1,869.00 "," $1,875.00 "," $1,887.00 "," $1,897.00 "," $1,904.00 "," $1,928.00 "," $1,946.00 "
